SIGN,DATE,TEXT
aquarius,2012-01-01,"You may feel as if satisfaction is within your reach today, and happily, you could be right. However, too much impatience can turn a pleasant social scenario into a mess. Logically, you know that you should be able to get what you want right away. Unfortunately, everything is going to take longer than you expect. As long you keep an eye on your goal, you should continue to make progress. Don't be discouraged; instead, maintain a cheerful attitude or you could jeopardize the outcome."
pisces,2012-01-01,"You're all fired up and could be quite productive at home once you put your mind toward getting things done. Sometimes you excel at avoiding the details of a project, yet now you're able to maintain a high level of concentration. Apply yourself in the present moment, without being overly concerned about the unknown territory around the next corner."
aries,2012-01-02,"You may be experiencing a high level of mental and physical activity today because the initiating Aries Moon encourages you to engage the day with zest. However, events are unfolding according to their own natural rhythm, demanding that you slow down. You won't be able to bolt ahead at your own pace now, so take your time and respond to delays as gracefully as possible. In the meantime, enjoy the present moment for the opportunities it holds."
taurus,2012-01-02,"You're attracted to new and different kinds of pleasure today as wild Uranus shocks your key planet Venus. Although you are hot to trot, you realize that waiting for the right moment can make the difference between failure and success. You may feel frustrated because you're close to reaching satisfaction, yet it's still just out of reach. Rest assured that the outcome will be worth the wait."
gemini,2012-01-02,"You may feel bored with the idea of going back to work today, even before you get there. Although you might have had a fun-filled holiday, you're already looking for more excitement. Unfortunately, finishing your tasks early won't help because you still need to wait for the clock. Don't frustrate yourself by focusing on what you want to do; instead, bring your awareness back to the present moment and seek happiness there."
cancer,2012-01-02,"Your friends and associates may be depending on you today, possibly leading you to resent them for having unreasonable expectations. Naturally, you enjoy nurturing those close to you, but you don't particularly like it when your personal needs are overlooked in the process. Stop trying to place the blame on anyone else; take charge of your life and do what you must to fulfill your own desires."
leo,2012-01-02,"You may have something sweet to smile about today because it seems as if your life is moving in the right direction. Although you might not have everything you want, it's wonderful to believe that your patience will finally pay off. But blindly pinning your hopes onto a pipedream isn't such a smart strategy. You don't have to get crazy and turn your world upside down; just start making concrete plans while luck is on your side."
virgo,2012-01-02,"Having lots to do can put you in a good mood today, especially if you're satisfied with the quality of your work. You might not even care if others don't acknowledge how much you contribute because peer recognition isn't as important as meeting your own personal standards of quality. Ironically, your understated approach will work in your favor, leading others to express their appreciation for your extra effort."
libra,2012-01-02,"You can be so fair-minded in your dealings with others that your greatest challenge is acknowledging what you need for yourself. However, there's currently no doubt in your mind; you know what you want and would be wise to ask for it today while your intentions are clear. Just remember that you still may have to wait for satisfaction. Fortunately, your chances for success are likely now as long as you express your needs honestly."
scorpio,2012-01-02,"You're looking for new and different ways to resolve nagging old problems. You aren't interested in doing your job the same way as before because a radical approach enables you to gain a fresh perspective on your routine. However, there's no value in shaking up everything at once. Working quietly behind the scenes allows you to make steady progress toward re-establishing your job security."
sagittarius,2012-01-02,"You might wish you could delay going back to work today, but luckily you have the opportunity to derive profound satisfaction from working with people you like. You can experience a wonderful camaraderie that comes from being on a winning team. However, you could struggle as you try to downplay your need for independence. Instead of withdrawing to do your own thing now, bring your innovative spirit and unique point of view to the group process."
capricorn,2012-01-02,"The Moon harmonizes with your key planet Saturn today, empowering you to stand up to a bully or to defend your integrity. Fortunately, if you can stay focused on your objectives, everything should improve as the day unfolds. You may end up making some extra money or seizing a chance to kindle a romantic interest. However, you must be patient; success won't happen overnight."
aquarius,2012-01-02,"This could be a very hectic day, especially if you must handle work that piled up prior to the holidays. Keep in mind that you may not be able to finish everything that's on your plate. Don't take it personally; you really don't need to waste time now reflecting on your past failures. Acknowledging that some things are beyond your control leads to being content with simply doing the best job you can."
pisces,2012-01-02,"You may grow tired with the thought of returning to the daily grind and want to retreat into your own private space instead. Even if you need to be around others now, you're still likely to feel a bit withdrawn. Fortunately, this isn't a problem because you can still do your job while letting your imagination wander. Just continue to do your work while keeping your personal thoughts to yourself."
aries,2012-01-03,"You're known for your ability to be spontaneous rather than planning ahead, yet you can also be very patient when you want something badly enough. Although your current desires may be strong, you are not in a hurry now. In fact, you might even be feeling a bit lazy, luxuriating in the status quo. But don't get too comfortable with the way things are because your efforts today can have positive consequences in the future."
taurus,2012-01-03,"People may lean on you because you seem as steady as the Rock of Gibraltar. You are clear about what you want and how you're going to get it -- and there isn't much that can alter your course today. Others believe that they could find security in the strength of your convictions. But your stability depends on you sticking close to the facts, so don't waste brainpower attempting to understand the mysteries of the universe. Keep things simple and save the philosophizing and dreaming for another time."
gemini,2012-01-03,"You can find a simple kind of pleasure in being serious now because you want everyone to recognize how stable you are. You are often the one who speaks up with a provocative question or a witty comeback. However, you aren't interested in showing others how clever you are today. Taking a few deep breaths instead of replying quickly is an effective tactic to demonstrate that you're contemplating your answers before you speak."
cancer,2012-01-03,"Although you like the idea of working closely with others today, participating in group activities is complicated by dynamic emotional entanglements. Nevertheless, your profound sense of loyalty to your friends and colleagues makes it difficult to do anything that creates tension between you and anyone else. Don't go silent simply to avoid conflict. You can still be a team player, even while standing up for your individual point of view."
leo,2012-01-03,"You're feeling more confident about your job today, even if you're not receiving much feedback. Instead of riding on an emotional rollercoaster, your moods begin to stabilize, allowing you to maintain an overall sense of calmness. Integrate the wild ups and downs you recently experienced rather than stirring up new excitement now. Although this may be a mellow day, there will still be more thrills before your ride is over."
virgo,2012-01-03,"You may be anxious if your day doesn't unfold according to your schedule. Even if there's still plenty of time to finish your work, a fear continues to gnaw away in the back of your mind. It's frustrating because you realize that whatever's bugging you won't be solved in a day. However, it's pointless to spend time being self-critical or judgmental. Although you strive for perfection, remember that you're human and must accept your shortcomings just like everyone else."
libra,2012-01-03,"You're tempted to let someone know that you're annoyed today when working with others who believe they know it all. Unfortunately, expressing your frustration probably won't improve your day. To make matters worse, you could unconsciously provoke someone to act even more stubbornly. If a friend or co-worker digs in his or her heels, remember that it's not your job to change anyone's mind. It's a smarter strategy now to work on your own issues and let your actions speak for you instead."
scorpio,2012-01-03,"You could benefit from setting a steady pace to your routine today, one that will enable you to reach your short-term goals in the days and weeks ahead. Hopefully, you realize that you can't force anyone to move any faster than they're already going -- even if it would simplify your life. But don't worry about things that are out of your control; instead, do whatever you can to positively affect your own behavior. Your unwavering persistence will be rewarded."
sagittarius,2012-01-03,"You may feel very content with your accomplishments today, but true satisfaction requires that you finish whatever projects you start. This means that you must establish realistic objectives, make a workable plan for the day and then follow through with consistent effort. Relying on your common sense supports your dreams, giving you a better chance of success."
capricorn,2012-01-03,"Although this is a propitious day, it might not seem out of the ordinary as it unfolds. The steadfast Taurus Moon is harmonizing with the Sun and potent Pluto in your ambitious sign, indicating that you can accomplish nearly anything you set your mind to now. However, keep in mind that the results of your current work may take weeks to manifest. Just do the best you can and the rewards will follow."
aquarius,2012-01-03,"You might appear less responsible than you actually are today, but you may keep the more serious issues to yourself. You are more practical than sentimental now, empowering you to set your emotions aside and just get down to work. Fortunately, applying yourself extra diligently will be worth it in the long run. Instead of frittering away your opportunity, do something that actually matters."
pisces,2012-01-03,"It's challenging to know if you should take a bit of downtime when you're offered the chance, or if it's smarter to be practical and just keep working. The truth is that your best strategy combines hard work with a little escape. However, the sequence of events is critical. Meet your responsibilities first, and then indulge in your fantasies later on."
aries,2012-01-04,"Sticking with the tried and true method brings better results today than rushing off to start something entirely new. You may grow restless if everything seems too familiar, but it's a smarter strategy to manage your anxiety by modifying your attitude instead of messing with your environment. Thankfully, once you accept that you need to settle into your routine, most everything should get easier to manage all around."
taurus,2012-01-04,"The Moon's visit to your determined sign may be quite stabilizing, but you could become so concerned with getting your way now that you obsess over something you want. Even if you are concerned that things are not going your way, they just might be out of your control. Rather than increasing your frustration by trying to change circumstances that are unchangeable, remind yourself that practicing flexibility helps to prevent your energy from getting stuck."
gemini,2012-01-04,You might not be so talkative today because you're afraid of saying too much. Your self-restraint is an intelligent strategy since there are issues that need your attention and it can be problematic if you wear yourself out too early in the game. Find some time to relax so you have energy for what's ahead instead of pursuing random social activities now.
cancer,2012-01-04,"This may be a perfect day to socialize with friends, but don't worry about figuring out the details in advance. You might experience some anxiety because you want to know exactly what you will be doing later, but ultimately it will be more enjoyable if you leave things unstructured for now. Fortunately, the less you plan, the more relaxed you'll be throughout the day."
leo,2012-01-04,"You could back yourself into a corner with no easy way out today because you might try too hard to make your plan work. In fact, you are banking on everyone sticking closely to your agenda as promised. But the universe might have a slightly different notion about what's next, and you're better off if you don't fight the inevitable. Even if you are successful at forcing reality to fit into your scheme, you could exhaust yourself in the process. Honestly, it's okay to relax your control now because you will regain it later on."
virgo,2012-01-04,"This may be a rather easygoing day if you don't make yourself busy with too much unnecessary work. Instead of shifting into automatic gear and working through your list of regular chores, consider which tasks are non-essential and leave those for another day. Even if you're typically a hard worker, think about taking some well-deserved time off just to relax today."
libra,2012-01-04,"You have a highly unique way of approaching life now, but you might not be able to set your ideas into motion. But this isn't only about your efforts being blocked; your current lack of confidence makes you wonder if you'll be able to reach your goals if you are opposed to the prevailing currents. Actually, you're smarter to wait it out; enjoy yourself today by being creative, instead of productive. Save your strength for another day when the going isn't so rough."
scorpio,2012-01-04,"It's irritating if someone quickly agrees with you in word, yet continues to resist nearly everything you do. It's as if there's a split between the mental and physical universe, which can be quite frustrating. Keep in mind that you won't be able to solve this dilemma today. Instead of forcing any issues, just be an objective witness to what's happening. Thankfully, you can still feel content if you simply make a decision to let it be for now."
sagittarius,2012-01-04,"You might not be able to accomplish all your goals today, but a large part of the problem comes from taking on too much. You can visualize the big picture so well that it motivates you to think beyond your immediate environment. Unfortunately, there isn't a fast way to get to your destination. Nevertheless, you'll be happier if you concentrate on the most practical things you can do, even if that means success is delayed another day."
capricorn,2012-01-04,"Your friends might believe that you would benefit from some relaxation today, but may secretly think that you don't know how to have fun. However, you're ready to let them follow you around so you can prove them wrong. Although you could have a struggle on your hands convincing them, you can still have a good time doing it. Don't bother defending your actions if someone doesn't like your strategy. Just get on with your plans and make things happen exactly the way you want them to now, without worrying about what others think."
aquarius,2012-01-04,The same events that might have upset your life previously don't seem to have the same unsettling effect now. But unresolved issues won't likely vanish on their own unless you maintain a firm inner resolve. Keep your eyes focused on the distant horizon. You will reach your destination if you don't become distracted -- even if it takes more time than you prefer.
pisces,2012-01-04,"You are ready to settle into an easy day at work, hoping that you don't have to deal with any major upheavals. However, you may need to overcome a few obstacles that now stand between you and your personal satisfaction. You won't find happiness if you try to force your position on others. It's more effective to step back from potential conflicts until you're able to talk about your emotions in a rational manner."
aries,2012-01-05,"You may actually enjoy yourself today, even if you don't get very much accomplished. You might be more interested in learning something new than you are in finishing your work. Unfortunately, this can stir up the ire of a co-worker who wishes that you would hold up your end of the deal. Avoid causing unnecessary trouble now by attending to your responsibilities before going off on your intellectual exploration."
taurus,2012-01-05,"You may feel as if you are caught between two opposing forces, yet you're limited in how you can respond. It would be ideal if you could accept a wonderful invitation that is offered to you today, but previous work obligations don't give you enough time. You would love to jump at a chance to make more money, but it probably isn't time yet. Keep plugging away for now; your opportunity to shine will come soon enough."
gemini,2012-01-05,"The Moon's return to your sign is exciting because you see wonderful possibilities everywhere you look. However, too many choices can be a bit overwhelming, especially if you're trying to follow through on a task that you started earlier in the week. Don't be too hard on yourself if you aren't able to concentrate on your work. Just make certain that you return to it later so you don't let anyone down."
cancer,2012-01-05,The Moon's shift into your 12th House of Privacy reinforces your tendency to withdraw emotionally if circumstances become too confusing or intense. But taking defensive action and retreating behind a wall of secrecy won't necessarily make you feel any more secure. Your smartest strategy now is to talk about your concerns. Getting your feelings out into the open saves you from having to pull into your fantasies in order to feel safe.
leo,2012-01-05,"Although there may be pressure on you to fulfill promises you made at work, you might rather be socializing with your friends or associates. Unfortunately, it's so easy to distract yourself today, you could forget to return to your chores. Instead of avoiding your responsibilities by pursuing one thing after another, make a commitment to finish what you start before rewarding yourself with the pleasurable company of others."
virgo,2012-01-05,"You are standing at a fork in the road and have a choice to make now that could have a significant impact on the direction of your career. Although you can clearly see the pros and cons of taking either direction, you must decide based on what you know today, rather than what might happen in the future. Your dreams are important, but it's smarter to be practical and stick with the facts when making major decisions."
libra,2012-01-05,"Your current ideas are not limited by reality, yet thinking big may lead you in an entirely new direction. Unfortunately, placing too much importance on your imagination can be disorienting if you don't balance your dreams with your actual circumstances. It's better to give yourself permission to let your mind wander than attempting to stop your natural creative flow. Just remember that you don't have to act on every whim or share every thought."
scorpio,2012-01-05,"It may be annoying at first if something happens to distract you from your agenda today. You won't likely change your mind easily, but your unwillingness to be flexible isn't helpful now. Having to let go of your plans may seem like a setback, but it could be a blessing in disguise. This is not about your failure to reach your goals; rather, it's a temporary break in your progress that allows you to recharge your batteries so your energy is there when you need it most."
sagittarius,2012-01-05,"It's all about relationships today with the Moon's presence in your 7th House of Companions. Other people can either be a source of exciting fun or irritating distraction. Or, more likely, someone is both pleasant and bothersome at the same time. You don't want to be alone so you enjoy the company, yet it's difficult to maintain a steady pace when another person keeps pulling you off track. There's no simple solution to your current dilemma, but being adaptable enables you to keep a positive attitude all day."
capricorn,2012-01-05,"You are confused about what to do at work today. Even if you've been assigned a specific task, there are several ways for you to approach it. The dualistic Gemini Moon's visit to your 6th House of Details can bog you down in minutiae or red tape unless you keep reminding yourself of your goal. Ultimately, it's better to jump in and get busy than to continue analyzing the various possibilities. The sooner you start, the sooner you finish."
aquarius,2012-01-05,"Losing yourself in fantasies becomes more attractive day by day, but the longer you can remain focused on the real world, the better off you'll be today. Your dreams can be a significant source of inspiration if you also keep your feet on the ground. There will be time to float off into your imaginary world in the days ahead, but for now, keep bringing your thoughts back to the present moment so you can make good use of your original ideas."
pisces,2012-01-05,"Although your life may be filled with things to do and people to see, you might prefer the idea of amusing yourself on your own. Or, perhaps, you like the idea of friends coming over to your place so you don't have to go out to enjoy yourself. Even at work, you may be torn between your desire to keep to yourself and the need to interact with your co-workers. However, there's no urgency to resolve this dilemma today, for it will take care of itself soon enough."
aries,2012-01-06,"It's difficult to maintain a steady work pace today if your natural rhythm feels off balance. Your key planet Mars is stressed in your 6th House of Daily Routine, possibly making advanced planning of your day counterproductive. It's better to be free from too many commitments now because you could be required to respond to changing circumstances. If you feel as if you're stuck in a rut, making small changes is healthier than turning everything upside down."
taurus,2012-01-06,"You typically stick with a decision once you make up your mind, but you might go back and forth several times today before you finally are satisfied with your choice. Your ambivalence could leave you feeling nervous, especially if you're getting pressured by others to make a commitment. However, it's not wise to give your final answer before you are comfortable with it. Step back from all the noise so you can listen to your inner voice; your intuition won't steer you wrong now."
gemini,2012-01-06,"It seems as if time is speeding up and your life is moving faster than you prefer. Normally, you like the thrill that comes from a lot of activity, but today you will be ready for some rest by the end of the day. Give yourself time to relax in the evening, since you will need to have your wits about you if relationship issues surface. An emotionally charged conflict that arises now is best handled in the present moment with honesty and kindness."
cancer,2012-01-06,"You would love to find a harmonious balance today between your desire to resolve an ongoing disagreement and your tendency to avoid difficult communication by withdrawing into your shell. Although you're considering every option, you're fairly comfortable with your own feelings. If you sense emotional tension in the atmosphere, make everyone feel better by confronting the issue directly."
leo,2012-01-06,"You may receive a ""Get Out of Jail Free"" card from the universe, however, you must use it right away. Although you haven't solved any long-term issues, you can sidestep the problems for a while as you relax by taking a scenic ride today. Imagine yourself moving through the day as if it is a dream while always keeping one foot on the ground, so you won't forget what's real. Remain open to pleasurable experiences now without stressing about how you will integrate them into your life."
virgo,2012-01-06,"The proverb ""the devil is in the details"" could be your unraveling today. Everything may appear to be unfolding according to your master plan, but it's entirely possible you could overlook something very important. Rather than trying to minimize your error, face up to it right away. Avoiding a problem will only make it grow in size. Make the necessary changes so you can put things back on track as quickly as you can."
libra,2012-01-06,"Today goes well for you if you can keep your feelings to yourself, since your desires will likely conflict with what others want. Unfortunately, you have something to say and you don't want to put it off. Once you begin expressing yourself, it's hard to know when to stop. You could work yourself into a state of anxiety that makes you less effective in communicating your message. Avoid becoming a victim of your own passion now by using as few words as you can to explain your point of view."
scorpio,2012-01-06,"You may be juggling your responsibilities today because you're trying to accomplish too much at once. Still, you could complete everything that is required if you stop and prioritize what you need to do. Mapping out your day helps to prevent you from scattering your energy and frittering away your resources. Be realistic in your approach; if necessary, pare back activities instead of waiting until you're already behind schedule."
sagittarius,2012-01-06,"You may believe that a new strategy is required now to take a relationship to the next level or to revitalize it with fresh energy. Nevertheless, you still might resist the necessary changes unconsciously if you aren't certain which way you want to go. Don't let confusion stand in the way of truth. Rather than tapdancing around the edges of confrontation, be direct and say exactly what's on your mind. Even if your opinion creates dissension, resolution will be possible once everything is out in the open."
capricorn,2012-01-06,"You have lots of thoughts running through your head today, but it's challenging to put them into words because they are moving so quickly. It's difficult to gauge the impact of your presentation because one minute it seems as if everyone's agreeing with you, and then the next minute someone's belittling your perspective. Paradoxically, you'll be more successful if you don't try so hard. Be patient and save your most convincing arguments until tomorrow when the planets are on your side."
aquarius,2012-01-06,"You might think that you can sweet talk your way through a tricky situation today, but someone may not be willing to take what you say at face value. There can be powerful feelings just beneath the surface, making it difficult for you to get your way. Normally, your fixed sense of purpose enables you to successfully navigate your way through the obstacles. Although it's difficult to focus now, you can still win an argument if you remember to keep bringing the discussion back to the point at hand."
pisces,2012-01-06,"Although you may be an incurable dreamer, it's not helpful to drift off into the clouds now. You won't be able to complete what you have started if your mind keeps wandering into the future. It's more important to concentrate on the present moment than to think about what you will need to do next. If necessary, lean on a trusted friend or partner for help. But even if someone's advice feels more like criticism, listen to what you're being told and consider incorporating it into your strategy."
aries,2012-01-07,"You may set your hopes on a lofty goal today because your enthusiasm can counteract a discouraging mood. Although your thinking may be inspired now, you're still able to remain pragmatic about what you can actually accomplish. Later in the day you might wonder if you extended your reach too far. Don't worry; you didn't. It just going to take time for you to put it all together."
taurus,2012-01-07,"Although your self-confidence should pull you through a bout with uncertainty, your moods swing widely throughout the day. It's not like you to put blind faith into a vision or a fantasy, but it really seems possible to reach for the stars today and grab one. Unfortunately, you may not be as ready for prime time as you think. Don't be too hard on yourself when you realize how much more work is still in front of you. Thankfully, you can rely on your legendary patience now that you need it."
gemini,2012-01-07,"Your day begins as an intellectual curiosity; you wonder if your dreams are worth pursuing. But as the day wears on, you become more involved with your fantasy until you're hooked by the heat of your desires. You may worry that you've lost your objectivity, but you bravely push into unknown territory as you're tempted by your irrational feelings. Just remember to take it slowly; if you suddenly find yourself in emotional deep water you might be tempted to run back the safety of dry land."
cancer,2012-01-07,"As long as you can stay connected with your inner world, the path ahead should remain clear enough to let you continue on your way. It doesn't matter if you run into an unexpected obstacle if you know that you're doing the best you can do. But don't convince yourself that you know what's going to happen. Although your fate can shift several times, staying focused on your goal remains your best strategy."
leo,2012-01-07,"You can appear to be quite an enigma today, especially if you consciously choose to keep your emotions hidden from others. Although you might feel thin-skinned, you're probably more secure if your friends and co-workers can't ask revealing questions because they don't even know something is wrong. Ironically, someone's eager support may annoy you as much as the resistance you face. Thankfully, your troubles fade once you become confident enough to reveal your vulnerability to someone you trust."
virgo,2012-01-07,"You are a fount of inspirational vision and strength for your friends today. If you are participating on a team effort or project, others in the group or your family will look up to you for guidance. But there's no need to be authoritarian; just share your feelings as you respond to what's happening around you. Your instincts will naturally reveal the most logical steps to take next."
libra,2012-01-07,"Sharing your dreams with someone you trust enables you to stay emotionally balanced today. But this isn't an open invitation to float away into Fantasyland. Instead, this is an opportunity express your vision of an ideal future realistic enough to be possible. However, your feelings may be harder to reveal later in the day if you didn't begin the dialogue when you had the chance. Getting a previously hidden secret out into the open enables you to delve deeper toward the evening."
scorpio,2012-01-07,"Your perspective grows more intense throughout the day as magnetic Venus forms a dynamic aspect with your key planet Pluto. If your intentions are altruistic, you can convince others to join you in your cause. Your ability to reframe an unpleasant situation allows you to make it attractive while still adhering to the truth. Take your time to explain exactly what you see now because you can widen people's horizons and help them see possibilities they might have missed."
sagittarius,2012-01-07,"You might appear to be spacey to others at first, but once they hear you explain your idea further it begins to make more sense to them. Your imagination enables you to extend your thoughts well into the future, yet you're able to back up your observations with sound thinking. Ultimately, this is a great day to share your dreams if you're willing to keep one foot firmly planted on the ground."
capricorn,2012-01-07,"Your communication is so clear today that you can hold your audience's attention as you talk about the future. However, you're also in touch with your imagination, so you're not limited to a logical perspective. There's no need to hold on to previous plans as current circumstances continue to change. Letting go of an old agenda helps to make more room for a newer one that is more meaningful to your current state of mind and more interesting to everyone else."
aquarius,2012-01-07,"Your day may start off smoothly enough, but you could be brought right to the edge of your comfort zone before it's over. Although you seem to have a healthy balance between reality and fantasy, you grow increasingly uncomfortable as an emotional drama sidetracks you from your dreaming and planning. Don't fight against the currents pulling you out of your rational world; be patient and remain open to the process of transformation. You can learn a valuable lesson from this experience."
pisces,2012-01-07,"You may feel as if the pressures are easing so you can breathe easily again. You're enthused by the intriguing possibilities you see everywhere you look. Happily, you believe your goals to be within reach. Nevertheless, you can also sense a growing disturbance in your peaceful energy field, and although you can't recognize its source, this disharmony bothers you. Trusting your sixth sense is wise now, but don't let your fear of the unknown overpower the comfort you know."
aries,2012-01-08,"You're trying to catch up on chores and your unrestrained optimism tempts you to take on more work than you can possibly finish. Unfortunately, your exuberance may be stymied if you reach too far. Instead of believing that you need to convert every intellectual breakthrough into tangible results, just allow your thoughts to rise and fall like the tides. Visualize yourself standing on the shores of awareness, but remember that you don't have to capture every individual wave to make your mark."
taurus,2012-01-08,"You feel as if you're waiting for something big to happen, yet it remains out of reach. You want to settle down, but your restlessness lingers until you accept that the resistance comes from your own attitude. Fortunately, when you begin to let go of control, the tension begins to disperse. Forget about adjusting specific details of your day; instead consider changing your long-term goals. Ironically, aiming your attention at the distant horizon has a positive impact on the present moment."
gemini,2012-01-08,"It's challenging to follow through on anything that you start now, but you won't likely be bothered about it for too long. You forget about what you were doing as soon as you get another idea and become immersed in the next activity. Your behavior might be upsetting to others today, yet you'll probably continue scattering your energy until you can no longer keep up with everything. Ultimately, obtaining closure on unfinished business improves your reputation and raises your confidence."
cancer,2012-01-08,"Although you may wish things were simpler today, it feels as if you built your relationships on shifting sands. Thankfully, you might be able to change the energy faster than you thought possible by just telling the truth. Don't hold back; even if your life is turned upside down for a while, it will settle back on the solid foundation that you seek. Have the courage to throw caution to the wind when it comes to following your heart."
leo,2012-01-08,"You think you know what you want today, but the circumstances keep changing. Just as you become comfortable with one perspective, everything shifts and you need to readjust your expectations. Your willingness to be flexible could prevent a serious headache. Pay constant attention to the interpersonal dynamics and respond with your heart, not your head. Too much thinking now can get in the way of your best interests."
virgo,2012-01-08,"Your key planet Mercury is totally buzzing today, yet it may be too much for you to easily integrate, especially if you believe you already have the answers. The more rigid you are in your thinking, the louder the static is from electrical Uranus. But your readiness for change empowers you to explore the outer limits of your imagination. However, remember that you don't have to push your thought process over the edge; your evolving perspective is all you need."
libra,2012-01-08,"Your mind is operating at an incredibly high speed today, yet you're wondering if you're capable of keeping it up throughout the entire day. You might assume that things will eventually slow down, but other people keep introducing more complications. The hectic pace is fun at first, but might become more exhausting as the day goes on. Don't try to do everything all at once. Extending your thinking into the future can help you remain calmer in the present."
scorpio,2012-01-08,"You are possessed with self-confidence today, especially if someone you trust is expressing his or her approval of your performance. Although unpredictable Uranus can set off a strike of lighting that upsets your current routine, lucky Jupiter is standing by with cosmic assistance. As long as you're willing to change your mind quickly, you should be able to make good use of the new information that comes to you now. Letting go of old assumptions clears the way for an exciting new direction."
sagittarius,2012-01-08,"Your key planet Jupiter encourages you to take on more than you would on another day. Fortunately, you're able to accomplish so much today that others might think you are a superhero. However, there's a price to pay for your action-packed day. So many events are interrelated now that one unexpected blip can bring down the entire house of cards. But even a crisis or two won't stop you if you're open to starting over again and shifting your course as needed."
capricorn,2012-01-08,"You may think that everything is going to calm down, but you probably won't have time to catch your breath for a couple of days. You're being called back into action today and you must show up ready to work or you might lose valuable ground. Fortunately, mental Mercury's shift into your ambitious sign indicates that you're up for the task. Accept the current challenges with a fierce determination and get started immediately; you don't have any time to waste."
aquarius,2012-01-08,"Although your thoughts are tied to your future, today's tenacious Cancer Moon reveals your desire to stay exactly where you are now. Unfortunately, you must let go of the past as electric Uranus zaps you out of your nostalgic fantasies. Overcome your fears and face the brave new world that's right around the next corner. You might not be able to see what's coming, but if you're willing to take a calculated risk the rewards will follow."
pisces,2012-01-08,"You don't have to convince anyone that your plan is the right one today; you only need to communicate with honesty and integrity. There are no correct or incorrect points of view now, just differing ones. Even if your opinions are unconventional, others will respect you for clearly stating exactly where you stand. Nevertheless, you will appear more sincere if you are also sensitive to other people's positions. Having an open mind is the key to making the best choices."
aries,2012-01-09,"You're tempted to demand changes at work, but expressing your anger won't necessarily help your cause. You will do much better today by demonstrating your respect for authority instead of challenging it. Be patient with others now since the Cancer Full Moon in your 4th House of Security indicates that maintaining a positive attitude creates more stability than pushing for immediate resolution to your concerns."
taurus,2012-01-09,"You don't like suddenly changing your plans at the very last minute, but you're willing to stir things up anyhow if you're not happy with the current situation. The emotional Cancer Full Moon illuminates your 3rd House of Communication, encouraging you to share your opinions, especially if things aren't going your way. However, overreacting now will only make matters worse, so cool your heels and just do what you can without upsetting the status quo."
