SIGN,DATE,TEXT
aquarius,2014-01-01,"You might be inclined to take care of someone else's needs today, but it's not a smart idea if you haven't been asked to help. Acting with compassion is always admirable, but an awkward situation can develop if you assist where it's not wanted. Don't express any negative feelings now that the Capricorn New Moon lands in your 12th House of Secrets or your good intentions may backfire. If someone resists your helping hand,  kindly wish them well and walk away."
pisces,2014-01-01,"An emotional disagreement with your friends or family members may lead to discouragement today if your allies seem to be especially hard on you. Group interactions have a high level of intensity now as the Capricorn New Moon joins relentless Pluto in your 11th House of Community. But don't focus your feelings on any one person; instead, disperse your current emotional charge over as many people as possible. Channeling your excess energy into positive action will help more than you think to lift everyone's spirits."
aries,2014-01-02,"Obtaining what you want today may be elusive if your frustration escapes its container and spills over into your world. Unfortunately, it's too late to enroll in a stress management class. If you are feeling isolated, don't blame others. Striking out only pushes them further away. Go running or hit the gym, but whatever you do, make sure to sweat it out. If you discuss your feelings with someone you trust, be sure to approach the topic gently and treat your confidant with the utmost respect."
taurus,2014-01-02,You might want to take off the padded gloves today and express your dissatisfaction. But remember that if you lash out (even if it's only with words) you will have to deal with the consequences sooner than later. Don't create conflict unless you are sure that you want to fully engage with the rest of the process. It may be much more beneficial to wage peace in your personal life rather than war.
gemini,2014-01-02,"Although you might feel emotional tension all around you today, you can be quite productive if you simply adapt to the changing dynamics. But if your need to share what's on your mind prompts you to fight the wrong battles, you could end up exhausted and not any closer to your goals. However, engaging in physical activity or doing any type of hard work reduces the stress and increases your chances for success."
cancer,2014-01-02,"This is no time to be harboring resentments because unexpressed emotions have a way of cycling back around and catching you off guard. You may like the idea of withdrawing socially for a while, though you still might engage in an intense interaction if you feel threatened. If stress triggers a confrontation today, be sensible and do whatever you can to keep the conversation civil. You don't need to take the bait if someone is egging you on and looking for trouble. Hot tempers won't lead to a cool solution."
leo,2014-01-02,"If you think your positive intentions are being blocked by someone today, remind yourself that the obstacles in your path aren't necessarily only on the outside. Naturally, you can't just snap your fingers and change the external circumstances. Nevertheless, you are fully capable of altering how you react to the situation. Instead of confronting anyone, take a few deep breaths and just get on with your own work. The less you push back now, the better."
virgo,2014-01-02,"Free-floating anxiety can be quite bothersome today, especially if you're trying to overcome feelings of isolation. At first, it might seem as if the solution to your dilemma is to share your thoughts with another person. But he or she may not be as accessible as you wish. Consider participating in a team sport or putting in extra hours on a group project. Either way, don't withdraw now; keeping your energy moving is the best way to lift your spirits."
libra,2014-01-02,"A business or romantic partner may act too impulsively today, but your feelings don't diminish in intensity even if you disengage from the situation. In some ways, you're more frustrated since a lasting solution seems a long way off. There's no reason to worry about fixing what has already happened. Just don't make things worse now by losing your temper. Remember, you can still let your emotions flow without drawing others into your drama."
scorpio,2014-01-02,"You might try to hold back a flood of fiery passions today, but your feelings are likely to spill out into the open anyhow. Be aware that others may be overwhelmed by your emotional heat wave if you suddenly release your stored-up tensions. It's time for you to do what Scorpios do best: transform the negative into positive energy. No matter what the question is now, the answer is love."
sagittarius,2014-01-02,"You have an overabundance of physical energy, but you might believe that there's no easy way to express it today. However, keeping your feelings locked up inside doesn't work, either. You may mistakenly assume that if others knew what you are really thinking that they wouldn't like you as much. Unfortunately, the truth is that by keeping secrets now, you're inadvertently building walls where you don't really need them. Be courageous; dismantle borders instead of fortifying them."
capricorn,2014-01-02,"Hopefully, no one will push you too hard today since you are likely to respond in a way that is quite disruptive. Your internal sense of your own power is growing. Like a capacitor in an electrical circuit, you might hold back now until enough of a charge is built that your release has the desired impact. Just be careful not to act too soon or your recent hard work will be for naught. Patience is your best weapon of self-defense."
aquarius,2014-01-02,"You are learning powerful lessons these days about what not to say. If you just express everything, the end result may be opposite of what you actually want. But withholding your feelings isn't in your best interest, either. Whatever you share now can affect others, so it's best to speak only after you reconsider your motives. Remember, it's not just about you today; act for the greatest good for all involved."
pisces,2014-01-02,"Although you may feel residual anger from a recent situation, you are entering a new phase when you experience a wider range of emotions. This means that, assuming you pay attention to what's in your heart, you can be more proactive in a positive manner rather than feeling like you are just at the mercy of the changing currents. Although you might not have control over your initial reaction to the current circumstances, you can choose how to respond. Demonstrate your good intentions by taking the high road whenever possible."
aries,2014-01-03,"A current relationship may seem overly confining, but you won't likely do anything to rock the boat today. You're probably more interested in dreaming about your perfect partner than making real changes. Thankfully, there's no need to worry about how to increase your freedom now. Go ahead and indulge in your fantasy; when you're finished daydreaming, return to the present moment and take a deliberate step that will make a real difference."
taurus,2014-01-03,"You're ready for a major change now, but you only want it on your terms. Your current need to be in control might make others anxious today because they don't understand how you can keep it all together in the midst of so much activity. Focusing your attention helps your cause. No matter what happens, concentrate on your goal and grab any opportunity to give it your best shot. You won't ever know what is possible unless you try."
gemini,2014-01-03,"Being wildly impractical only inspires you to plan your next little adventure. You are thinking in the broadest strokes and might quickly choose a journey to the other side of the world before settling on a trip across town. While others may laugh at you because they think your ideas are too outrageous, you just might get the final laugh when you send them postcards from Timbuktu."
cancer,2014-01-03,"Usually you're the one that needs additional reassurance in a relationship and expressing your feelings is a great way to move toward a deeper level of intimacy. But lowering your guard can't just happen overnight, especially if you've recently been hurt. Thankfully, you don't need to let your past negatively influence the present. Push back against your fears today, for your heart is much stronger than you realize."
leo,2014-01-03,"There may be a widening gulf between you and another person who decides that freedom is more important now than dependence. The Moon's visit to your 7th House of Relationships indicates a partner who is more of a spiritual collaborator than just a friend. Needless to say, this level of emotional detachment is not your regular path to intimacy. Keep in mind that you can have breathing room and still deepen the connection between you and your companion. If you love someone, set them free."
virgo,2014-01-03,"You may be feeling a bit out of sorts today, like you don't want to do your daily chores the same old way. You are seeking a radical new approach and are apt to become an eager student if it appears that someone knows something you do not. Although, education is not the only necessary ingredient, it is a critical part of the process. Paradoxically, stepping out of your comfort zone now might actually settle your nerves."
libra,2014-01-03,"Taking a risk sounds like a good idea today, but you must find your own center and get into a productive flow before you start something new. However, you need to be convinced that it can add more pleasure to your life. This is a very creative time for you and it's crucial to enjoy yourself while expressing your inner artist. Make an extra effort to acknowledge both work and play, for now these two opposites are intricately entangled. Follow your muse and don't look back."
scorpio,2014-01-03,"Even if previously hidden aspects of your personal history are quite unusual, you still might be ready to take center stage today and share your story. However, you may prefer to keep certain parts of your private life totally to yourself. The level of disclosure is your choice; think carefully about what to leave out since you can change someone's perspective of you in ways that you don't realize. Nevertheless, you could be radically honest, tell the whole truth and let the chips fall as they may."
sagittarius,2014-01-03,"Trying extra hard to concentrate is a sensible strategy because a variety of new possibilities are wildly intriguing now. Unfortunately, it may be impossible to shut off your curiosity once it has been aroused. Still, it's better to be interested in learning about new subjects than to be so set in your ways that you don't push beyond your limits. Obviously, you need to fulfill your commitments today, but it's imperative to feed your hunger for knowledge as well."
capricorn,2014-01-03,"You may feel as if you are standing at the edge of something entirely new today, yet you probably prefer holding onto the status quo as long as you can. Unfortunately, trying to live in the past isn't a useful strategy when the future is already here. Your life is changing in profound ways; accepting your new reality is the first step to reclaiming your confidence so you can take advantage of the wonderful opportunities knocking at your door."
aquarius,2014-01-03,"You might want to put a bit of distance between your thoughts and your feelings today, but the two seem to be interwoven in a complex web. The changeable Moon's current visit to your fixed sign brings powerful mood swings to your normally cool and collected world of logic. Don't bother trying to untangle the threads now. Instead, observe how these two modalities work together so seamlessly that they actually support one another. Keep both your heart and mind open for the best results."
pisces,2014-01-03,"You must suspend belief to enable your dreams to take hold today. Fortunately, the Moon's current transit of your 12th House of Imagination could jump-start a sweet fantasy. But don't waste any energy now attempting to clarify what is true and what is not. Instead, just assimilate the entire story for the creative masterpiece it is. You can always analyze it more deeply on another day."
aries,2014-01-04,"You may sense the turbulence in front of a big wave of change that's heading your way, and your uncertainty about the future makes you anxious. Fortunately, you're not resistant to the lessons you're learning now, but you would rather move through this phase with as little disruption as possible. Nevertheless, you could waste precious energy trying to maintain your current schedule. It's smarter to flow with the shifting currents instead of fighting against them. Adaptability is your key to success."
taurus,2014-01-04,"You might seek advice from your friends today, especially if you're having a difficult time cooperating with others in a group situation. It's challenging to avoid creating adversarial relationships now, yet a combative approach isn't helpful at all. Consider what your colleagues can offer and what you are willing to surrender in the process. Adopting a more positive attitude is your first step. Successful negotiation requires compromise on both sides."
gemini,2014-01-04,"If you're receiving mixed messages from an authority figure today, don't try to force a resolution yet because there's probably more people involved than you realize. Your key planet Mercury may be stressing you out now as it aligns with deceptive Neptune. Instead of pushing your agenda onto anyone else, let the situation develop on its own. Your most sensible choice will become apparent once others get a chance to express their desires. Clarity returns when you have all the missing pieces of the puzzle in place."
cancer,2014-01-04,"The difference between your thoughts and your feelings can be confusing as the current facts pull one way while your desires pull you in another direction. Unfortunately, the incoming data isn't very reliable now. Something that you know to be true today might turn out to be false tomorrow. Even if you want to trust your rational analysis, it's smarter to follow your instincts because they can cut through the uncertainty and lead you down the right path."
leo,2014-01-04,"You're fascinated by how powerful your feelings are now, but you secretly long for more stability in your life. Of course, you prefer pleasure to hard work, especially if you're not having much fun, so you may jump at an intriguing invitation from a friend. Don't try to talk yourself out of a good time even if you have chores to finish. Taking a break from the intensity of your responsibilities enables you to return with a fresh outlook on life."
virgo,2014-01-04,"You might feel overwhelmed by too much information today as your ruling planet Mercury moves through methodical Capricorn. However, it's challenging to concentrate on mundane reality because your dream world is so vivid now. Someone may pressure you to make a choice but try not to make any final decisions yet. So much is happening that you probably will want to change your mind in a day or two. Leave your options open as long as you can for the best possible outcome."
libra,2014-01-04,"There may be an important event on your calendar today but something unexpected could happen that requires you to postpone it. You possibly crammed too much into your day because you felt pressured to perform. But don't waste time worrying what you'll do if your plans fall apart; you might simply have to reschedule other commitments. If you surf the changing tides with an optimistic attitude, others will recognize your position and support your efforts."
scorpio,2014-01-04,"Your work ethic is being tested for a couple of days as practical concerns force you to modify your approach. You could run into a conflict with a close friend today, but don't assume that you have done anything wrong. There may be trouble if you make a decision that is solely based on your values, without considering how others might react. You'll be more effective if you're willing to change your plans for the sake of expediency. Nevertheless, you shouldn't have to compromise your beliefs to please anyone else."
sagittarius,2014-01-04,"You have a clear sense of the future now and know exactly what you need to do to be successful. However, circumstances grow complicated if you run into an unexpected obstacle in your path. Managing the situation may not be an easy task, yet it's crucial to give it your best shot. Don't go for the quick fix today; instead, set your intentions on finding a lasting solution that works for everyone involved. Keep your chin up and your eyes on the horizon as you push to achieve your goals."
capricorn,2014-01-04,"Your instincts might take you in the opposite direction of your logic today. To make matters more complex, your new plan may be contrary to everyone else's beliefs, too. You haven't picked an easy course to take because of the intense resistance you could encounter. Nevertheless, it's still smarter to follow your intuition now and leave the more rational approach for another day. Ultimately, others will admire you for walking your talk and reaching for your dreams."
aquarius,2014-01-04,"Unfortunately, you can't trust your senses today, making it difficult for you to distinguish reality from the illusion. Trickster Mercury is scrambling messages as it travels through your 12th House of Imagination. Using your fantasies to complete the picture may be the best you can do, but the results might be misleading. You could convince yourself of nearly anything now, so it's better to wait for clarity to return before making any critical decisions. In the meantime, relax and give yourself permission to indulge in a bit of creative daydreaming, instead."
pisces,2014-01-04,"A friend or associate may offer you information that contradicts what you already know. You could be so confused today that you don't know who to trust or which way to turn. Although you feel pressured to choose sides in a conflict that is unfolding around you, it's safer not to get involved in other people's dramas now. Wait a few days and see how the situation is progressing before supporting either position. Stepping back to do your own thing might just be your wisest move."
aries,2014-01-05,"Get ready for some real excitement because the cosmic seas are stirring up some pretty huge waves today as the Sun opposes giant Jupiter. Thankfully, the incoming swells become the well-formed breakers that a surfer loves to ride. You can see them coming at a distance and you know exactly what to do. So grab your surfboard and leap into action. Don't hold back; the good news is the positive energy is probably even stronger than you realize."
taurus,2014-01-05,"Your helping hand extends further than normal today. You might even feel like royalty and others can easily sense the special gifts that you now possess. It takes very little effort to spread your cheer through generous actions now, because everything seems to be moving in the right direction. Stay humble; don't take the good life for granted. A touch of gratitude goes a long way."
gemini,2014-01-05,"You're feeling lucky these days, but it's still not an intelligent move to bet the farm on an intuitive hunch right now. It's not that you couldn't win big -- you might. But there is a built-in instability in overextending your reach. Unfortunately, you may be more interested in theory than in practice today. Don't get so lost in philosophical discussions that you miss the opportunity right in front of your nose. Taking a calculated risk makes the most sense if you want to create positive change."
cancer,2014-01-05,"You may be generous to a fault today, setting your needs aside to care for someone you love. But nothing is as simple as it seems. Your good intentions could pull you into a mystery involving complex relationships and unresolved feelings. Although you have an optimistic outlook these days, your curiosity encourages you to investigate dark places you haven't yet traveled. Trust your intuition, no matter the twists and turns you encounter along the way."
leo,2014-01-05,"People in your life may have a difficult time with your lack of boundaries today. It's challenging for you to have a clear perspective, in part because you might be over-confident now in your own abilities. All you need to do is turn down your volume just a tiny bit. Thankfully, your day won't be any less enjoyable, and practicing a little self-restraint will help you maintain credibility with others in the long run."
virgo,2014-01-05,"It's not that you're losing touch with reality today, but you sure are intrigued by all of the creative possibilities. Your friends and associates are encouraging you to follow your dreams. In your own unique way, you're falling into bountiful Jupiter's trap of fantasizing about a brighter future. Go ahead and take a risk -- just don't do it alone if you think it's more than you can handle. There's power in numbers and safety in a crowd."
libra,2014-01-05,"You may be caught in one of your familiar patterns, where both sides of a dilemma appear equally attractive. Even if you want your freedom at work, you're also eager to take on new responsibilities. Making a smart choice could mean that you have to temporarily give up some of that very same independence you crave now. Although you might be considering a retreat from social life today, lean toward the side of engagement instead. Keeping an open mind is a good place to start."
scorpio,2014-01-05,"You're feeling more confident about your place in the world today and the potential for new adventures tomorrow. Although you have the capability to amass power and wealth, you are typically motivated by less material goals. However, the temptation now is to reap some of the fruits from the seeds that you've sown over the past years. There's nothing wrong with claiming your just rewards as long as you understand that your search for meaning need not diminish."
sagittarius,2014-01-05,"Bigger actually does seem better today, but the danger is that your current optimism might inflate a balloon well past the danger point of popping. Even if you believe you know when to stop, you still may realize that you've pushed it just one breath too far. Of course, once the balloon pops, you can't put any air in it at all. It's best to operate with a touch of caution sooner than to be sorry later."
capricorn,2014-01-05,"Your belief in a friend or partner may be enough to motivate you now, and you'll be fine as long as you remember to keep your feet on the ground. Don't get sucked into grandiose Jupiter's inflationary spiral or you might not be able to work your way back to Earth. Even if everything looks great on the surface, keep in mind that a good business sense and a methodical approach will set the most successful course. Use your core values as your moral compass and then stick to your plan of action no matter what."
aquarius,2014-01-05,"You can cleverly mislead yourself into believing that everything at work is well enough to leave as it is -- but it's not. On the other hand, things aren't that bad, either. Find a middle ground on which to stand because when opportunity knocks, you'll need to know where you want to go and how to best get there. However, being ready means that you haven't over-committed yourself to a project that is built upon the blue sky of Jupiter's expansive ideals and shifting sands. Give yourself enough room to grow."
pisces,2014-01-05,"You want all your family members and friends to understand what makes you tick. Others may be able to see the glint in your eye today, but they won't likely know what is behind your mischievous smile. Fortunately, jolly Jupiter is now moving through your 5th House of Self-Expression, enabling you to spread joy wherever you go. Happily, you should get what you want if you're willing to take the time and explain what's happening in the depths of your imagination."
aries,2014-01-06,"You might attempt to refrain from any sort of emotional outburst this morning, but your feelings move closer to the surface once the evocative Moon is back in your sign this afternoon. Nevertheless, it still may not be wise to share what's on your mind yet. Even if you don't intend to offend anyone, your words can carry more negativity than you realize. Instead of releasing your stress verbally today, find constructive ways to express your energy that you will feel good about tomorrow."
taurus,2014-01-06,There's no reason to hide behind carefully chosen words today because your true intentions will probably be transparent anyhow. Your secrecy might have a detrimental impact on a relationship now. Burying your feelings could also suppress the honest reactions of someone close to you. It doesn't hurt to be truthful if you simply remember to be kind in the process. Keep your heart open and you can't go wrong.
gemini,2014-01-06,"Your social calendar can be quite demanding today because you may have to be around people without much time left over for yourself. Although you often thrive on being busy, you long for a bit of solitude now. Nevertheless, it's nearly impossible to avoid interacting with others. Even if you can't escape the steady barrage of noisy distractions, you're able to make your life more manageable by consciously saying less and actively listening more."
cancer,2014-01-06,"You're ready to get down to work today, especially if you enjoy the company of your associates. Still, you might wish you could stick close to home, but balancing your personal activities with professional responsibilities sounds simpler than it actually is. Fortunately, the stress level isn't disruptive enough to make you miserable. Just remember to stay fully present with all aspects of your life and keep your sense of humor close at hand."
leo,2014-01-06,"You might be the life of the party today, especially if you can't rein in your own intensity. There's no easy way to just shut off the flow of your feelings, so don't even waste energy trying. Observing your reactions to the rapidly changing circumstances may teach you something important about yourself that you didn't previously know. But you must remain open to exploring your response as the energy shifts. Investigating a whole spectrum of emotions ultimately leads to the most personal growth."
virgo,2014-01-06,"The alluring quality of your feelings can be quite intoxicating today, whether you are in a new relationship or just fantasizing about one. You could even fall in love anew with someone familiar or discover an exciting attraction to a total stranger. Either way, your enthusiasm is contagious as long as you don't allow fear to stand between you and love."
libra,2014-01-06,"You may be argumentative today, yet it seems to you as if someone else is the one who is acting out aggressively. A playful interaction grows more heated as your key planet Venus heads for a hook-up with mischievous Mercury tomorrow. Unfortunately, the love planet is retrograde, indicating that your needs won't be satisfied just yet. Don't push for results now; practicing patience pays off in ways that are well worth the wait."
scorpio,2014-01-06,"A professional acquaintance may have it in for you, yet you can't figure out what you have done wrong. Actually, your behavior has likely been exemplary and others could be resentful of your accomplishments. Although you're tempted to escalate an uncomfortable situation now, it makes a lot more sense to smile, bite your tongue and simply allow a potential conflict to pass. You can always pick up your cause after the tension has dissipated and the coast is clear."
sagittarius,2014-01-06,"Although you might put your foot in your mouth today, your good intentions should cover for any social clumsiness. However, your patience may grow so thin that it's almost impossible to take extra time to listen to others. Even if you're paying attention, you could be onto your next thought so quickly that it doesn't really matter. Your day will run much smoother if you do yourself a favor now and slow down."
capricorn,2014-01-06,"Personal drama is in the spotlight for a while today, yet it could make you rather unhappy if you allow it to take over your day. Thankfully, your I-can-do-it attitude may improve the situation right away. Ultimately, you feel more empowered if you look at an emotional confrontation as your chance to move closer to someone special. Or, perhaps, it's time to invite healing to a conflict that's been part of a difficult relationship. Everything is ready to change for the better if you let it."
aquarius,2014-01-06,"A bit of intellectual banter can add to the fun now, even if there is a disagreement over the basic facts. Although you take a discussion quite seriously today, you're still light enough on your feet to avoid growing overly attached to the outcome of any debate. Instead of just stirring up conflict because it's a fascinating distraction from your regular routine, make sure you learn something new in the process."
pisces,2014-01-06,"A problem with your finances suddenly comes to your attention today, but it could be something as simple as forgetting to get cash from the bank or leaving your wallet at home. However, it's more complicated if you haven't been paying close attention to your cash flow. Avoid further difficulties by carefully reconsidering any expenditures prior to making an impulsive purchase. If you're unsure of your best move, ask a trusted friend for advice; another point of view might be enough to help you make up your mind."
aries,2014-01-07,"You might tell someone you trust that you want to take things to the next level, but it's not easy to reveal what's in your heart. It grows more challenging to remain open as circumstances shift. The Moon's visit to courageous Aries pumps up your enthusiasm, but you must push past your own resistance if you want to make real change. Don't pretend that everything is fine if you're fearful of emotional conflict. Admit your vulnerability and step into the unknown because that's where the magic is hiding."
taurus,2014-01-07,"There is no sensible reason to avoid a passionate person who plays an important role in your day. Even if your first impulse is to retreat, running away from an apparently unsolvable difference of opinions won't fix anything today. Although you typically enjoy simple pleasures, you now have an opportunity to deepen a relationship that can broaden your perspective and teach you something you need to know. Your unrelenting persistence helps to turn a tricky situation into a positive experience."
gemini,2014-01-07,"Your current restlessness is not about being bored; it's about wanting to escape from an uncomfortable emotional drama that appears to have hijacked your day. However, denying the truth only increases your anxiety now as you realize that your feelings don't disappear just because you choose to sidestep the issue. Although resolution won't likely be immediate, today's stress passes faster if you share what's on your mind."
cancer,2014-01-07,"Your need to express your creativity runs up against the judgment of others today. Nevertheless, it's wiser to take a risk now and do what feels right instead of trying not to rock the boat. Although a bit of caution could grease your path with good intentions, don't sell yourself short. If you give in to fear, you might not get to do what matters most. Claim your power and act with confidence."
leo,2014-01-07,"Your coworkers may think they know you, but your no-nonsense attitude might be hiding the depth of your feelings today. It's not that you're trying to mislead anyone; it's just that you don't think it's wise to reveal anything that increases your vulnerability now. Remember, you are not obliged to say more than is comfortable; it's yours to decide how much of your inner process you wish to share."
virgo,2014-01-07,"A loved one may come forward today to demonstrate his or her appreciation for your loyalty, but you won't gain any points by strategizing on how to achieve a desired outcome. Your shortest path to increased intimacy is trusting someone enough now that you can act spontaneously and let your feelings flow. Instead of analyzing every option and considering all the possible reactions, simply follow your heart."
libra,2014-01-07,"Other people are filled with surprises today and someone's unexpected actions could stimulate a shift in your thinking. A change of perspective enables you to see the current events in a whole new light, inspiring you to come up with original ideas. However, it may not be such a wise move to express every opinion you have now. Be smart and think twice before saying something that you wish you could take back. Your natural mental flexibility serves you well."
scorpio,2014-01-07,"It's tempting to become so obsessed with wanting change that you forget about the good things present in your life. The pioneering Aries Moon moves through your 6th House of Work today, encouraging you to add something new to your daily routine. However, instead of suddenly turning your life upside down to free yourself from a rut, consider putting your current drive toward improving what you already have on your plate."
sagittarius,2014-01-07,"Although you may be overloaded with responsibilities today, you are more than willing to set them aside in the name of fun or creativity. However, your reputation could suffer if you don't follow through on your promises. Fortunately, meeting your obligations doesn't mean shutting off your colorful inner world. If you're clever, you can keep up outward appearances while still fantasizing about your next big adventure."
capricorn,2014-01-07,"You can amaze others with your uncanny ability to stay on task today, even if your job isn't living up to your own ambitious expectations. However, your determination doesn't come from your attitude about current activities; it's more likely based on your long-term goals. As long as you hold onto your dreams, you'll be able to put up with nearly anything now; visualizing your current course will ultimately lead to success."
aquarius,2014-01-07,"It's easy to give the impression that all is well today because you are so busy that others only catch fleeting glimpses of you flitting from one event to another. However, if you stand still long enough your mask of satisfaction could quickly turn transparent, revealing a deeper malaise. Your inner peace isn't dependent on the happy face that you wear for everyone's benefit. You'll feel better in the long run when you stop hiding your true feelings from those you love. Let them show you they love you back."
pisces,2014-01-07,"Your self-confidence might run into a wall today if someone openly questions your actions or misinterprets your motives. Thankfully, the Moon's return to your 2nd House of Resources increases your belief that you have something special to offer and ultimately boosts your self-esteem. Instead of allowing yourself to get discouraged by self-doubt, put valid criticism to use by applying it constructively in your life. No matter what, there's always room for improvement."
aries,2014-01-08,"Although the discomfort you were feeling with someone close to you begins to dissipate today, the underlying cause doesn't automatically disappear. You might want to take the easy way out and simply move on. However, even if the pressure subsides you will just have to deal with this problem again, unless you face your denial. However, don't blow everything out of proportion; sticking with the facts is the best antidote to whatever ails you now."
taurus,2014-01-08,"You won't likely agree with the direction that's being suggested today, yet you still could go along for the ride anyhow. Actually, you might do your best work if you step back now and let others take the lead. Remember, your retreat is not a permanent change, but just a temporary modification to ensure optimum results."
gemini,2014-01-08,"Your confidence may increase throughout the day because you assume that you're off the hook from a recent melodrama. Your elevated self-esteem enables you to face your problems head on, even if you still feel a little scared. You're not one to eagerly sink into the darker mysteries of human emotion, but now your enthusiasm helps you go there with greater ease. Fortunately, your courage to explore beyond your comfort zone pays off sooner than you expect."
cancer,2014-01-08,"Your current lack of fear in an emotional interaction might get you into complex entanglements that raise old issues. You may start out with a light and easy attitude; however, feelings could quickly escalate and draw you in over your head. Your first impulse is about self-protection, but it's better to stand your ground instead of retreating. Fortunately, you can gain a whole new perspective by stretching beyond your limitations. You've waited long enough; it's time to go after whatever you want, within reason, of course."
leo,2014-01-08,"Your mind is brimming with new ideas and each one may sound better than the previous. Unfortunately, you might not have very clear judgment now as the Sun aligns with confusing Neptune, making everything appear enticing. Although you are eager to blast ahead with one-too-many projects, slowing down is the best strategy today. If the opportunity is as fantastic as it first seems, it will still look as good tomorrow."
virgo,2014-01-08,"Everything seems to be telling you that you can take it easy today -- but your demeanor grows more serious as the day wears on. You think that part of your job is to sort out what is most significant from the increasing amount of noise in your life. You might feel as if you can't hide from the barrage of data. Don't sever any connections now, for a gem of truth may be waiting in the piles of information coming your way."
libra,2014-01-08,"Your colleagues probably know what's going on in your life now without you having to say a thing out loud. Although you may not volunteer any clues about your emotional process, you'll still get your message across without even opening your mouth. Fortunately, your actions speak louder than anyone's words. Don't hold back; demonstrate who you are with your authentic behavior."
scorpio,2014-01-08,"A heightened state of anxiety might be exactly what you need now in order to propel you into action. But be careful not to overextend your energy because you may be in a state of accentuated alert. Everything seems equally pressing but, of course, you cannot do it all. This is an important growth phase, even if you're having difficulty maintaining a balanced perspective. Just remember, it's best to err on the side of caution today, for you can always do more tomorrow."
sagittarius,2014-01-08,"Lofty ideals combined with big dreams motivate you to set your goals high now that red-hot Mars is square giant Jupiter. Unfortunately, you might discover that your aspirations are out of place in your external world. Rather than giving up on your desire for fun and adventure, you may just relegate it to the realm of fantasy, where you are free to go any place you want. And although this is one way to keep your dreams alive, it's still fulfilling to share your vision with others when the time is right."
